SenderID;ReceiverID;EventTime
157480;11023;2011-12-09 00:46:00
11023;157480;2011-12-09 00:47:46
157480;11023;2011-12-09 00:48:43
156324;11023;2011-12-09 00:51:16
11023;157480;2011-12-09 00:51:43
11023;156324;2011-12-09 00:51:59
157480;11023;2011-12-09 00:52:35
11023;144571;2011-12-09 01:03:40
144571;11023;2011-12-09 01:07:10
157480;11023;2011-12-09 02:39:10
11023;157480;2011-12-09 02:40:18
157480;11023;2011-12-09 02:42:56
157480;11023;2011-12-09 02:43:05
11023;157480;2011-12-09 02:44:53
157480;11023;2011-12-09 02:45:45
147795;11023;2011-12-09 02:52:13
157480;11023;2011-12-09 02:57:20
11023;157480;2011-12-09 02:58:21
147795;11023;2011-12-09 03:00:30
157480;11023;2011-12-09 04:06:11
11023;157480;2011-12-09 04:07:33
157480;11023;2011-12-09 04:10:53
11023;15723;2011-12-09 04:12:14
11023;157480;2011-12-09 04:13:30
157480;11023;2011-12-09 04:14:33
11023;157480;2011-12-09 04:16:20
157480;11023;2011-12-09 04:17:07
11023;157480;2011-12-09 04:18:03
157480;11023;2011-12-09 04:18:45
11023;157480;2011-12-09 04:20:20
157480;11023;2011-12-09 04:20:58
11023;157480;2011-12-09 04:22:35
157480;11023;2011-12-09 04:23:31
11023;157480;2011-12-09 04:24:27
157480;11023;2011-12-09 04:25:54
11023;157480;2011-12-09 04:26:19
11023;157480;2011-12-09 04:30:21
157480;11023;2011-12-09 04:30:37
11023;157480;2011-12-09 04:31:28
157480;11023;2011-12-09 04:32:49
11023;157480;2011-12-09 04:34:23
157480;11023;2011-12-09 04:35:58
11023;157480;2011-12-09 04:38:14
157480;11023;2011-12-09 04:39:28
11023;157480;2011-12-09 04:44:38
157480;11023;2011-12-09 04:46:18
11023;157480;2011-12-09 04:48:04
157480;11023;2011-12-09 04:51:20
11023;157480;2011-12-09 04:52:05
157480;11023;2011-12-09 04:53:13
11023;157480;2011-12-09 04:54:04
157480;11023;2011-12-09 05:01:14
11023;157480;2011-12-09 05:02:24
11023;148720;2011-12-09 05:03:05
157480;11023;2011-12-09 05:03:05
11023;148720;2011-12-09 05:03:26
11023;157480;2011-12-09 05:08:45
